"street","av_lat","av_long"
"Titchfield Road",51.53594745,-0.1627011
"Torquay Street",51.52034949,-0.19166615
"Tothill Street",51.4997275566667,-0.131550373333333
"Townshend Road",51.53658243,-0.16767064
"Trevor Place",51.50117115,-0.16560204
"Trevor Square",51.50028084,-0.16466392
"Udall Street",51.49246457,-0.13693498
"Upper Belgrave Street",51.49795206,-0.1502161
"Upper Berkeley Street",51.515544642,-0.159740276
"Upper Brook Street",51.51142181,-0.15503113
"Upper Grosvenor Street",51.51027224,-0.15507741
"Upper Montagu Street",51.5201274966667,-0.160543783333333
"Upper Tachbrook Street",51.49319795,-0.139551875
"Upper Wimpole Street",51.52093517,-0.149539145
"Verdi Crescent",51.53242992,-0.20766306
"Victoria Embankment",51.507568492,-0.120220986
"Victoria Square",51.49799377,-0.14483875
"Vincent Square",51.493949395,-0.135166286666667
"Violet Hill",51.53293191,-0.18171631
"Walterton Road",51.52507526,-0.200673085
"Wardour Street",51.51451307,-0.13486361
"Warlock Road",51.5265211233333,-0.199433506666667
"Warrington Crescent",51.52423396,-0.18435563
"Warwick Avenue",51.52356051,-0.184888603333333
"Warwick Place",51.52205624,-0.18365297
"Warwick Row",51.49823797,-0.14308449
"Warwick Square",51.491010475,-0.14147834
"Warwick Street",51.511275975,-0.138205185
"Warwick Way",51.490891812,-0.144543988
"Waterloo Place",51.50707965,-0.132361703333333
"Waverley Place",51.534292315,-0.17541888
"Waverton Street",51.5077153,-0.14952551
"Welbeck Street",51.51854901,-0.14979625
"Wellington Place",51.53134956,-0.17114669
"Wellington Street",51.51176419,-0.119854925
"Wells Mews",51.51733696,-0.13763168
"Wells Rise",51.53634018,-0.16099739
"Wells Street",51.5175147466667,-0.138505083333333
"West Eaton Place",51.49484447,-0.15555735
"Westbourne Gardens",51.5177773,-0.18906497
"Westbourne Grove",51.51462796,-0.19882273
"Westbourne Grove Terrace",51.51583636,-0.1899578
"Westbourne Park Road",51.5183444966667,-0.195370566666667
"Westbourne Park Villas",51.518964315,-0.191976005
"Westbourne Terrace Road",51.52095598,-0.18414207
"Western Mews",51.5236391,-0.20130376
"Westmoreland Street",51.51912268,-0.14981918
"Westmoreland Terrace",51.48858411,-0.14625932
"Weymouth Street",51.520649527,-0.147298494
"Whittaker Street",51.49152715,-0.15563199
"Widley Road",51.52772217,-0.19451938
"Wigmore Street",51.51569302,-0.152511855
"William Iv Street",51.509527455,-0.125520965
"William Street",51.50183983,-0.15845654
"Willow Place",51.49443005,-0.13903507
"Wilton Crescent",51.500641215,-0.155677375
"Wilton Place",51.5016756466667,-0.156068483333333
"Wilton Road",51.493698775,-0.14179222
"Wilton Street",51.49903692,-0.14829506
"Wimpole Street",51.5184203033333,-0.148404933333333
"Winchester Street",51.48912972,-0.144325715
"Winnett Street",51.51219429,-0.13319637
"Winsland Street",51.51704001,-0.17525266
"Woodfield Place",51.52323761,-0.20098068
"Woodfield Road",51.5230823175,-0.1998481725
"Woronzow Road",51.53714405,-0.16985145
"Wymering Road",51.52769535,-0.19237119
"Wyndham Place",51.5188704,-0.16154826
"Wyndham Street",51.520784335,-0.162046825
"York Street",51.52046616,-0.159466236
